outcome,month,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_vax_ir,crude_unvax_ir,crude_irr,age_adj_vax_ir,age_adj_unvax_ir,age_adj_irr,monthly_age_adj_vax_ir,monthly_age_adj_unvax_ir,monthly_age_adj_irr,monthly_age_adj_mb_irr,continuity_correction
case,JUN 2022,202222,12-17,vax with updated booster,,,5392,4731112,,113.9689781,,,,,,,,,0
case,JUN 2022,202222,18-29,vaccinated,29598,17174439,22297,8776571.45,172.3375069,254.0513699,1.474150198,,,,,,,,1
case,JUN 2022,202222,18-29,vax with updated booster,,,22297,8776571.45,,254.0513699,,,,,,,,,1
case,JUN 2022,202222,30-49,vaccinated,56502,31326034,31359,9943170.95,180.3675499,315.3822876,1.748553372,,,,,,,,1
case,JUN 2022,202222,30-49,vax with updated booster,,,31359,9943170.95,,315.3822876,,,,,,,,,1
case,JUN 2022,202222,5-11,vaccinated,4871,4154160,7313,10214735,117.2559555,71.59265512,0.6105673254,,,,,,,,0
case,JUN 2022,202222,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JUN 2022,202222,50-64,vaccinated,41971,25610875,17170,4874264.3,163.8796019,352.2582885,2.149494411,,,,,,,,1
case,JUN 2022,202222,50-64,vax with updated booster,,,17170,4874264.3,,352.2582885,,,,,,,,,1
case,JUN 2022,202222,65-79,vaccinated,27340,18795219.3,9369,1502446.95,145.462522,623.5827495,4.286896316,,,,,,,,1
case,JUN 2022,202222,65-79,vax with updated booster,,,9369,1502446.95,,623.5827495,,,,,,,,,1
case,JUN 2022,202222,80+,vaccinated,9460,5429480.8,3231,701414.1,174.233971,460.6408682,2.643806289,,,,,,,,1
case,JUN 2022,202222,80+,vax with updated booster,,,3231,701414.1,,460.6408682,,,,,,,,,1
case,JUN 2022,202222,all_ages,vaccinated,164871,98336048.1,83426,25797867.75,,,,170.6534446,354.7560746,2.078809927,169.3384565,390.6305488,2.306803528,,1
case,JUN 2022,202222,all_ages,vax with updated booster,,,83426,25797867.75,,,,,354.7560746,,,390.6305488,,,1
case,JUN 2022,202223,12-17,vaccinated,5736,7475370,4691,4717605,76.73198785,99.43604859,1.295887822,,,,,,,,0
case,JUN 2022,202223,12-17,vax with updated booster,,,4691,4717605,,99.43604859,,,,,,,,,0
case,JUN 2022,202223,18-29,vaccinated,27307,17191858,22898,8751760.45,158.8368168,261.6387883,1.647217525,,,,,,,,1
case,JUN 2022,202223,18-29,vax with updated booster,,,22898,8751760.45,,261.6387883,,,,,,,,,1
case,JUN 2022,202223,30-49,vaccinated,52942,31344351,31686,9919779.95,168.9044383,319.4224082,1.891142775,,,,,,,,1
case,JUN 2022,202223,30-49,vax with updated booster,,,31686,9919779.95,,319.4224082,,,,,,,,,1
case,JUN 2022,202223,5-11,vaccinated,4158,4174484,6735,10192140,99.60512485,66.08033249,0.6634230176,,,,,,,,0
case,JUN 2022,202223,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JUN 2022,202223,50-64,vaccinated,40168,25634095,17581,4862334.3,156.6975546,361.5753035,2.307472535,,,,,,,,1
case,JUN 2022,202223,50-64,vax with updated booster,,,17581,4862334.3,,361.5753035,,,,,,,,,1
case,JUN 2022,202223,65-79,vaccinated,26846,18820200.3,9495,1498341.95,142.644603,633.7004714,4.442512777,,,,,,,,1
case,JUN 2022,202223,65-79,vax with updated booster,,,9495,1498341.95,,633.7004714,,,,,,,,,1
case,JUN 2022,202223,80+,vaccinated,9090,5438144.8,3324,698651.1,167.1525922,475.7739593,2.846345085,,,,,,,,1
case,JUN 2022,202223,80+,vax with updated booster,,,3324,698651.1,,475.7739593,,,,,,,,,1
case,JUN 2022,202223,all_ages,vaccinated,156353,98428649.1,84984,25730867.75,,,,160.8961033,361.8878155,2.249201865,169.3384565,390.6305488,2.306803528,,1
case,JUN 2022,202223,all_ages,vax with updated booster,,,84984,25730867.75,,,,,361.8878155,,,390.6305488,,,1
case,JUN 2022,202224,12-17,vaccinated,5214,7485263,4688,4705367,69.65687111,99.63091083,1.430309878,,,,,,,,0
case,JUN 2022,202224,12-17,vax with updated booster,,,4688,4705367,,99.63091083,,,,,,,,,0
case,JUN 2022,202224,18-29,vaccinated,26176,17207079,23325,8727904.45,152.1234371,267.2462804,1.756772562,,,,,,,,1
case,JUN 2022,202224,18-29,vax with updated booster,,,23325,8727904.45,,267.2462804,,,,,,,,,1
case,JUN 2022,202224,30-49,vaccinated,51773,31360138,31844,9897404.95,165.091748,321.7409024,1.948861202,,,,,,,,1
case,JUN 2022,202224,30-49,vax with updated booster,,,31844,9897404.95,,321.7409024,,,,,,,,,1
case,JUN 2022,202224,5-11,vaccinated,3683,4191378,7140,10171594,87.87086252,70.19548755,0.7988482819,,,,,,,,0
case,JUN 2022,202224,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JUN 2022,202224,50-64,vaccinated,39475,25651803,17634,4851303.3,153.8878183,363.4899512,2.362044996,,,,,,,,1
case,JUN 2022,202224,50-64,vax with updated booster,,,17634,4851303.3,,363.4899512,,,,,,,,,1
case,JUN 2022,202224,65-79,vaccinated,27109,18835946.3,9867,1494681.95,143.921625,660.1404399,4.586805075,,,,,,,,1
case,JUN 2022,202224,65-79,vax with updated booster,,,9867,1494681.95,,660.1404399,,,,,,,,,1
case,JUN 2022,202224,80+,vaccinated,9396,5443465.8,3303,696294.55,172.6106188,474.368211,2.748198311,,,,,,,,1
case,JUN 2022,202224,80+,vax with updated booster,,,3303,696294.55,,474.368211,,,,,,,,,1
case,JUN 2022,202224,all_ages,vaccinated,153929,98498432.1,85973,25667589.2,,,,157.7147065,367.6902682,2.331363235,169.3384565,390.6305488,2.306803528,,1
case,JUN 2022,202224,all_ages,vax with updated booster,,,85973,25667589.2,,,,,367.6902682,,,390.6305488,,,1
case,JUN 2022,202225,12-17,vaccinated,5356,7496021,4996,4693344,71.4512406,106.4486217,1.489807886,,,,,,,,0
case,JUN 2022,202225,12-17,vax with updated booster,,,4996,4693344,,106.4486217,,,,,,,,,0
case,JUN 2022,202225,18-29,vaccinated,28545,17224551,25833,8705347.45,165.7227524,296.7486381,1.790633053,,,,,,,,1
case,JUN 2022,202225,18-29,vax with updated booster,,,25833,8705347.45,,296.7486381,,,,,,,,,1
case,JUN 2022,202225,30-49,vaccinated,56371,31377430,35729,9876269.95,179.6546116,361.7661342,2.013675747,,,,,,,,1
case,JUN 2022,202225,30-49,vax with updated booster,,,35729,9876269.95,,361.7661342,,,,,,,,,1
case,JUN 2022,202225,5-11,vaccinated,3682,4209843,7626,10150316,87.46169394,75.13066588,0.8590122429,,,,,,,,0
case,JUN 2022,202225,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JUN 2022,202225,50-64,vaccinated,42892,25669942,19547,4841303.3,167.0903658,403.7549145,2.416386561,,,,,,,,1
case,JUN 2022,202225,50-64,vax with updated booster,,,19547,4841303.3,,403.7549145,,,,,,,,,1
case,JUN 2022,202225,65-79,vaccinated,29458,18851979.3,10824,1491402.95,156.2594544,725.7595943,4.644580368,,,,,,,,1
case,JUN 2022,202225,65-79,vax with updated booster,,,10824,1491402.95,,725.7595943,,,,,,,,,1
case,JUN 2022,202225,80+,vaccinated,10165,5448939.8,3716,694257.55,186.5500514,535.2480502,2.869192724,,,,,,,,1
case,JUN 2022,202225,80+,vax with updated booster,,,3716,694257.55,,535.2480502,,,,,,,,,1
case,JUN 2022,202225,all_ages,vaccinated,167431,98572842.1,95649,25608581.2,,,,171.4879628,409.6385344,2.388730543,169.3384565,390.6305488,2.306803528,,1
case,JUN 2022,202225,all_ages,vax with updated booster,,,95649,25608581.2,,,,,409.6385344,,,390.6305488,,,1
case,JUN 2022,202226,12-17,vaccinated,5510,7505747,5492,4681304,73.41041471,117.3177388,1.598107561,,,,,,,,0
case,JUN 2022,202226,12-17,vax with updated booster,,,5492,4681304,,117.3177388,,,,,,,,,0
case,JUN 2022,202226,18-29,vaccinated,31121,17241335,29260,8682643.45,180.5022639,336.9941443,1.866980153,,,,,,,,1
case,JUN 2022,202226,18-29,vax with updated booster,,,29260,8682643.45,,336.9941443,,,,,,,,,1
case,JUN 2022,202226,30-49,vaccinated,60071,31394156,40131,9855263.95,191.3445292,407.2037056,2.128117837,,,,,,,,1
case,JUN 2022,202226,30-49,vax with updated booster,,,40131,9855263.95,,407.2037056,,,,,,,,,1
case,JUN 2022,202226,5-11,vaccinated,3518,4227506,8520,10126050,83.21691323,84.13942258,1.011085599,,,,,,,,0
case,JUN 2022,202226,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JUN 2022,202226,50-64,vaccinated,46935,25686164,21593,4831482.3,182.7248319,446.9228833,2.445879296,,,,,,,,1
case,JUN 2022,202226,50-64,vax with updated booster,,,21593,4831482.3,,446.9228833,,,,,,,,,1
case,JUN 2022,202226,65-79,vaccinated,33136,18865419.3,12125,1488499.95,175.6441215,814.578462,4.637664244,,,,,,,,1
case,JUN 2022,202226,65-79,vax with updated booster,,,12125,1488499.95,,814.578462,,,,,,,,,1
case,JUN 2022,202226,80+,vaccinated,11180,5453527.8,4152,692513.55,205.0049144,599.5550556,2.924588697,,,,,,,,1
case,JUN 2022,202226,80+,vax with updated booster,,,4152,692513.55,,599.5550556,,,,,,,,,1
case,JUN 2022,202226,all_ages,vaccinated,182443,98640602.1,107261,25550403.2,,,,185.9097903,459.7824716,2.473148245,169.3384565,390.6305488,2.306803528,,1
case,JUN 2022,202226,all_ages,vax with updated booster,,,107261,25550403.2,,,,,459.7824716,,,390.6305488,,,1
case,JUL 2022,202227,12-17,vaccinated,5172,7515529,6022,4671425,68.81751105,128.9114135,1.873235628,,,,,,,,0
case,JUL 2022,202227,12-17,vax with updated booster,,,6022,4671425,,128.9114135,,,,,,,,,0
case,JUL 2022,202227,18-29,vaccinated,31729,17256633,31558,8663972.45,183.8655316,364.2440022,1.981034722,,,,,,,,1
case,JUL 2022,202227,18-29,vax with updated booster,,,31558,8663972.45,,364.2440022,,,,,,,,,1
case,JUL 2022,202227,30-49,vaccinated,61524,31409115,42695,9837991.95,195.8794445,433.9808389,2.215550692,,,,,,,,1
case,JUL 2022,202227,30-49,vax with updated booster,,,42695,9837991.95,,433.9808389,,,,,,,,,1
case,JUL 2022,202227,5-11,vaccinated,3386,4244689,9089,10105969,79.77027292,89.93694716,1.12744941,,,,,,,,0
case,JUL 2022,202227,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JUL 2022,202227,50-64,vaccinated,48464,25700572,23289,4822831.3,188.5716785,482.8906207,2.560780201,,,,,,,,1
case,JUL 2022,202227,50-64,vax with updated booster,,,23289,4822831.3,,482.8906207,,,,,,,,,1
case,JUL 2022,202227,65-79,vaccinated,34398,18876944.3,13137,1486039.95,182.222289,884.0273776,4.851367977,,,,,,,,1
case,JUL 2022,202227,65-79,vax with updated booster,,,13137,1486039.95,,884.0273776,,,,,,,,,1
case,JUL 2022,202227,80+,vaccinated,11820,5457547.8,4456,691273.55,216.5807874,644.6073338,2.976290471,,,,,,,,1
case,JUL 2022,202227,80+,vax with updated booster,,,4456,691273.55,,644.6073338,,,,,,,,,1
case,JUL 2022,202227,all_ages,vaccinated,187935,98700812.1,115135,25502109.2,,,,191.0294412,494.6878978,2.589589829,194.1538944,537.2935006,2.767358863,,1
case,JUL 2022,202227,all_ages,vax with updated booster,,,115135,25502109.2,,,,,494.6878978,,,537.2935006,,,1
case,JUL 2022,202228,12-17,vaccinated,5767,7525343,7061,4659664,76.63438065,151.5345312,1.977370078,,,,,,,,0
case,JUL 2022,202228,12-17,vax with updated booster,,,7061,4659664,,151.5345312,,,,,,,,,0
case,JUL 2022,202228,18-29,vaccinated,32642,17272091,34711,8640392.45,188.9869617,401.7294376,2.125699223,,,,,,,,1
case,JUL 2022,202228,18-29,vax with updated booster,,,34711,8640392.45,,401.7294376,,,,,,,,,1
case,JUL 2022,202228,30-49,vaccinated,63618,31423611,47488,9815906.95,202.4528626,483.7861671,2.389623742,,,,,,,,1
case,JUL 2022,202228,30-49,vax with updated booster,,,47488,9815906.95,,483.7861671,,,,,,,,,1
case,JUL 2022,202228,5-11,vaccinated,3749,4262525,10871,10081179,87.95256333,107.8346094,1.226054197,,,,,,,,0
case,JUL 2022,202228,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JUL 2022,202228,50-64,vaccinated,51966,25713438,25665,4811413.3,202.0966625,533.4191515,2.639425832,,,,,,,,1
case,JUL 2022,202228,50-64,vax with updated booster,,,25665,4811413.3,,533.4191515,,,,,,,,,1
case,JUL 2022,202228,65-79,vaccinated,37274,18886971.3,14349,1482387.95,197.3529763,967.9652347,4.904741001,,,,,,,,1
case,JUL 2022,202228,65-79,vax with updated booster,,,14349,1482387.95,,967.9652347,,,,,,,,,1
case,JUL 2022,202228,80+,vaccinated,12918,5461055.8,4873,689526.55,236.5476654,706.7168045,2.98762959,,,,,,,,1
case,JUL 2022,202228,80+,vax with updated booster,,,4873,689526.55,,706.7168045,,,,,,,,,1
case,JUL 2022,202228,all_ages,vaccinated,198418,98757167.1,127086,25439627.2,,,,200.3684028,546.8122494,2.729034328,194.1538944,537.2935006,2.767358863,,1
case,JUL 2022,202228,all_ages,vax with updated booster,,,127086,25439627.2,,,,,546.8122494,,,537.2935006,,,1
case,JUL 2022,202229,12-17,vaccinated,5842,7533216,7515,4647104,77.54988042,161.7136178,2.085285198,,,,,,,,0
case,JUL 2022,202229,12-17,vax with updated booster,,,7515,4647104,,161.7136178,,,,,,,,,0
case,JUL 2022,202229,18-29,vaccinated,31901,17285658,35240,8616291.45,184.5518406,408.9926647,2.216139722,,,,,,,,1
case,JUL 2022,202229,18-29,vax with updated booster,,,35240,8616291.45,,408.9926647,,,,,,,,,1
case,JUL 2022,202229,30-49,vaccinated,63371,31436544,49141,9792174.95,201.5838637,501.8394815,2.489482404,,,,,,,,1
case,JUL 2022,202229,30-49,vax with updated booster,,,49141,9792174.95,,501.8394815,,,,,,,,,1
case,JUL 2022,202229,5-11,vaccinated,3909,4277096,11994,10051600,91.39378681,119.3242867,1.305606112,,,,,,,,0
case,JUL 2022,202229,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JUL 2022,202229,50-64,vaccinated,52068,25724947,26907,4797491.3,202.4027494,560.8556289,2.770988194,,,,,,,,1
case,JUL 2022,202229,50-64,vax with updated booster,,,26907,4797491.3,,560.8556289,,,,,,,,,1
case,JUL 2022,202229,65-79,vaccinated,37894,18895177.3,14818,1477389.95,200.5485283,1002.985028,5.001208616,,,,,,,,1
case,JUL 2022,202229,65-79,vax with updated booster,,,14818,1477389.95,,1002.985028,,,,,,,,,1
case,JUL 2022,202229,80+,vaccinated,13342,5463672.8,5268,687408.55,244.1947109,766.3564848,3.138300915,,,,,,,,1
case,JUL 2022,202229,80+,vax with updated booster,,,5268,687408.55,,766.3564848,,,,,,,,,1
case,JUL 2022,202229,all_ages,vaccinated,198576,98805999.1,131374,25370756.2,,,,199.8595109,568.4284469,2.844140088,194.1538944,537.2935006,2.767358863,,1
case,JUL 2022,202229,all_ages,vax with updated booster,,,131374,25370756.2,,,,,568.4284469,,,537.2935006,,,1
case,JUL 2022,202230,12-17,vaccinated,5389,7541721,7225,4634469,71.45583879,155.8970402,2.181725704,,,,,,,,0
case,JUL 2022,202230,12-17,vax with updated booster,,,7225,4634469,,155.8970402,,,,,,,,,0
case,JUL 2022,202230,18-29,vaccinated,29593,17301057,33007,8594289.45,171.0473528,384.0573464,2.245327625,,,,,,,,1
case,JUL 2022,202230,18-29,vax with updated booster,,,33007,8594289.45,,384.0573464,,,,,,,,,1
case,JUL 2022,202230,30-49,vaccinated,58268,31451272,46360,9770438.95,185.2643671,474.4924996,2.56116439,,,,,,,,1
case,JUL 2022,202230,30-49,vax with updated booster,,,46360,9770438.95,,474.4924996,,,,,,,,,1
case,JUL 2022,202230,5-11,vaccinated,3601,4293598,11871,10021580,83.86905341,118.4543755,1.412372867,,,,,,,,0
case,JUL 2022,202230,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JUL 2022,202230,50-64,vaccinated,48675,25741325,25294,4784998.3,189.0928303,528.6104281,2.795507515,,,,,,,,1
case,JUL 2022,202230,50-64,vax with updated booster,,,25294,4784998.3,,528.6104281,,,,,,,,,1
case,JUL 2022,202230,65-79,vaccinated,35566,18907743.3,14220,1472966.95,188.1028287,965.3984429,5.132290935,,,,,,,,1
case,JUL 2022,202230,65-79,vax with updated booster,,,14220,1472966.95,,965.3984429,,,,,,,,,1
case,JUL 2022,202230,80+,vaccinated,12609,5467536.8,5083,685337.55,230.6157317,741.678316,3.216078584,,,,,,,,1
case,JUL 2022,202230,80+,vax with updated booster,,,5083,685337.55,,741.678316,,,,,,,,,1
case,JUL 2022,202230,all_ages,vaccinated,184711,98868934.1,123964,25308031.2,,,,185.3640557,539.4486688,2.910211835,194.1538944,537.2935006,2.767358863,,1
case,JUL 2022,202230,all_ages,vax with updated booster,,,123964,25308031.2,,,,,539.4486688,,,537.2935006,,,1
case,AUG 2022,202231,0.5-4,vaccinated,32,13525,14844,6500878,236.5988909,228.3383875,0.965086466,,,,,,,,0
case,AUG 2022,202231,0.5-4,vax with updated booster,,,,,,,,,,,,,,,0
case,AUG 2022,202231,12-17,vaccinated,5208,7550089,7191,4621415,68.97931932,155.6016934,2.255773107,,,,,,,,0
case,AUG 2022,202231,12-17,vax with updated booster,,,7191,4621415,,155.6016934,,,,,,,,,0
case,AUG 2022,202231,18-29,vaccinated,27001,17316385,30340,8572096.45,155.9274641,353.939088,2.26989575,,,,,,,,1
case,AUG 2022,202231,18-29,vax with updated booster,,,30340,8572096.45,,353.939088,,,,,,,,,1
case,AUG 2022,202231,30-49,vaccinated,52487,31465984,42725,9749736.95,166.8055256,438.2169511,2.627112918,,,,,,,,1
case,AUG 2022,202231,30-49,vax with updated booster,,,42725,9749736.95,,438.2169511,,,,,,,,,1
case,AUG 2022,202231,5-11,vaccinated,3466,4312832,11854,9991245,80.36482757,118.6438727,1.4763159,,,,,,,,0
case,AUG 2022,202231,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,AUG 2022,202231,50-64,vaccinated,43774,25761315,23242,4774691.3,169.9214501,486.7749251,2.864705574,,,,,,,,1
case,AUG 2022,202231,50-64,vax with updated booster,,,23242,4774691.3,,486.7749251,,,,,,,,,1
case,AUG 2022,202231,65-79,vaccinated,32047,18924888.3,13098,1469648.95,169.3378555,891.2332431,5.263047891,,,,,,,,1
case,AUG 2022,202231,65-79,vax with updated booster,,,13098,1469648.95,,891.2332431,,,,,,,,,1
case,AUG 2022,202231,80+,vaccinated,11596,5472333.8,4623,683865.55,211.9022783,676.0100724,3.190197282,,,,,,,,1
case,AUG 2022,202231,80+,vax with updated booster,,,4623,683865.55,,676.0100724,,,,,,,,,1
case,AUG 2022,202231,all_ages,vaccinated,166905,98940906.1,114028,25250039.2,,,,167.4318139,497.3086069,2.970215728,138.8643797,413.0668759,2.974606424,,1
case,AUG 2022,202231,all_ages,vax with updated booster,,,114028,25250039.2,,,,,497.3086069,,,413.0668759,,,1
case,AUG 2022,202232,0.5-4,vaccinated,67,45958,14082,6446759,145.7852822,218.4353409,1.49833603,,,,,,,,0
case,AUG 2022,202232,0.5-4,vax with updated booster,,,,,,,,,,,,,,,0
case,AUG 2022,202232,12-17,vaccinated,5689,7557851,9416,4608371,75.27271972,204.3238272,2.714447252,,,,,,,,0
case,AUG 2022,202232,12-17,vax with updated booster,,,9416,4608371,,204.3238272,,,,,,,,,0
case,AUG 2022,202232,18-29,vaccinated,23536,17330883,27085,8549432.45,135.8038133,316.8046553,2.332811189,,,,,,,,1
case,AUG 2022,202232,18-29,vax with updated booster,,,27085,8549432.45,,316.8046553,,,,,,,,,1
case,AUG 2022,202232,30-49,vaccinated,46813,31479170,38045,9729313.95,148.7110365,391.0347656,2.629493915,,,,,,,,1
case,AUG 2022,202232,30-49,vax with updated booster,,,38045,9729313.95,,391.0347656,,,,,,,,,1
case,AUG 2022,202232,5-11,vaccinated,3570,4332385,15204,9961373,82.40264889,152.6295622,1.852240969,,,,,,,,0
case,AUG 2022,202232,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,AUG 2022,202232,50-64,vaccinated,38840,25777417,20805,4765448.3,150.6745226,436.580122,2.897504598,,,,,,,,1
case,AUG 2022,202232,50-64,vax with updated booster,,,20805,4765448.3,,436.580122,,,,,,,,,1
case,AUG 2022,202232,65-79,vaccinated,29113,18939169.3,11789,1466954.95,153.7184632,803.6374941,5.227982879,,,,,,,,1
case,AUG 2022,202232,65-79,vax with updated booster,,,11789,1466954.95,,803.6374941,,,,,,,,,1
case,AUG 2022,202232,80+,vaccinated,11066,5476633.8,4309,682607.55,202.058425,631.2558365,3.124125294,,,,,,,,1
case,AUG 2022,202232,80+,vax with updated booster,,,4309,682607.55,,631.2558365,,,,,,,,,1
case,AUG 2022,202232,all_ages,vaccinated,149368,99003273.1,102033,25193757.2,,,,149.3476369,446.7293373,2.991204593,138.8643797,413.0668759,2.974606424,,1
case,AUG 2022,202232,all_ages,vax with updated booster,,,102033,25193757.2,,,,,446.7293373,,,413.0668759,,,1
case,AUG 2022,202233,0.5-4,vaccinated,90,70677,12959,6396941,127.3398701,202.5812025,1.590870183,,,,,,,,0
case,AUG 2022,202233,0.5-4,vax with updated booster,,,,,,,,,,,,,,,0
case,AUG 2022,202233,12-17,vaccinated,6909,7566326,13405,4597397.65,91.31248112,291.5779974,3.193188859,,,,,,,,1
case,AUG 2022,202233,12-17,vax with updated booster,,,13405,4597397.65,,291.5779974,,,,,,,,,1
case,AUG 2022,202233,18-29,vaccinated,20428,17345951,23886,8527748.45,117.7681178,280.0973802,2.378380376,,,,,,,,1
case,AUG 2022,202233,18-29,vax with updated booster,,,23886,8527748.45,,280.0973802,,,,,,,,,1
case,AUG 2022,202233,30-49,vaccinated,41702,31492155,34540,9710126.95,132.4202805,355.7111063,2.686228309,,,,,,,,1
case,AUG 2022,202233,30-49,vax with updated booster,,,34540,9710126.95,,355.7111063,,,,,,,,,1
case,AUG 2022,202233,5-11,vaccinated,3849,4352250,19630,9935224,88.43701534,197.5798432,2.234130612,,,,,,,,0
case,AUG 2022,202233,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,AUG 2022,202233,50-64,vaccinated,35186,25790087,18577,4757168.3,136.4322656,390.5054189,2.862265881,,,,,,,,1
case,AUG 2022,202233,50-64,vax with updated booster,,,18577,4757168.3,,390.5054189,,,,,,,,,1
case,AUG 2022,202233,65-79,vaccinated,26636,18948963.3,10853,1464663.95,140.5670568,740.9890849,5.271427758,,,,,,,,1
case,AUG 2022,202233,65-79,vax with updated booster,,,10853,1464663.95,,740.9890849,,,,,,,,,1
case,AUG 2022,202233,80+,vaccinated,10245,5479696.8,3974,681433.55,186.9628991,583.182322,3.119240902,,,,,,,,1
case,AUG 2022,202233,80+,vax with updated booster,,,3974,681433.55,,583.182322,,,,,,,,,1
case,AUG 2022,202233,all_ages,vaccinated,134197,99056853.1,91830,25141141.2,,,,133.5414678,404.9373951,3.032297022,138.8643797,413.0668759,2.974606424,,1
case,AUG 2022,202233,all_ages,vax with updated booster,,,91830,25141141.2,,,,,404.9373951,,,413.0668759,,,1
case,AUG 2022,202234,0.5-4,vaccinated,101,97594,11447,6351273,103.4899686,180.2315851,1.741536764,,,,,,,,0
case,AUG 2022,202234,0.5-4,vax with updated booster,,,,,,,,,,,,,,,0
case,AUG 2022,202234,12-17,vaccinated,7721,7574730,15538,4587667.65,101.9310259,338.6906198,3.322743166,,,,,,,,1
case,AUG 2022,202234,12-17,vax with updated booster,,,15538,4587667.65,,338.6906198,,,,,,,,,1
case,AUG 2022,202234,18-29,vaccinated,20599,17361557,23388,8507892.45,118.6471928,274.8976922,2.316933809,,,,,,,,1
case,AUG 2022,202234,18-29,vax with updated booster,,,23388,8507892.45,,274.8976922,,,,,,,,,1
case,AUG 2022,202234,30-49,vaccinated,39550,31505308,32663,9692883.95,125.534402,336.9791712,2.684357163,,,,,,,,1
case,AUG 2022,202234,30-49,vax with updated booster,,,32663,9692883.95,,336.9791712,,,,,,,,,1
case,AUG 2022,202234,5-11,vaccinated,3683,4373277,17918,9912576,84.21602382,180.7602787,2.146388187,,,,,,,,0
case,AUG 2022,202234,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,AUG 2022,202234,50-64,vaccinated,33437,25801091,17478,4749881.3,129.595295,367.96709,2.839355318,,,,,,,,1
case,AUG 2022,202234,50-64,vax with updated booster,,,17478,4749881.3,,367.96709,,,,,,,,,1
case,AUG 2022,202234,65-79,vaccinated,25466,18956656.3,9980,1462612.95,134.3380372,682.3404647,5.079279694,,,,,,,,1
case,AUG 2022,202234,65-79,vax with updated booster,,,9980,1462612.95,,682.3404647,,,,,,,,,1
case,AUG 2022,202234,80+,vaccinated,10159,5482134.8,3564,680503.55,185.3110215,523.7298174,2.826220551,,,,,,,,1
case,AUG 2022,202234,80+,vax with updated booster,,,3564,680503.55,,523.7298174,,,,,,,,,1
case,AUG 2022,202234,all_ages,vaccinated,129211,99106747.1,87073,25093774.2,,,,128.6582362,381.5233166,2.965401423,138.8643797,413.0668759,2.974606424,,1
case,AUG 2022,202234,all_ages,vax with updated booster,,,87073,25093774.2,,,,,381.5233166,,,413.0668759,,,1
case,AUG 2022,202235,0.5-4,vaccinated,115,118428,9340,6309700,97.10541426,148.0260551,1.524385187,,,,,,,,0
case,AUG 2022,202235,0.5-4,vax with updated booster,,,,,,,,,,,,,,,0
case,AUG 2022,202235,12-17,vaccinated,6862,7582590,12674,4579376.65,90.49678276,276.7625589,3.058258542,,,,,,,,1
case,AUG 2022,202235,12-17,vax with updated booster,,,12674,4579376.65,,276.7625589,,,,,,,,,1
case,AUG 2022,202235,18-29,vaccinated,19286,17376447,20821,8489371.45,110.9893179,245.2596181,2.209758766,,,,,,,,1
case,AUG 2022,202235,18-29,vax with updated booster,,,20821,8489371.45,,245.2596181,,,,,,,,,1
case,AUG 2022,202235,30-49,vaccinated,34565,31517251,27783,9676898.95,109.6700978,287.1064392,2.61790994,,,,,,,,1
case,AUG 2022,202235,30-49,vax with updated booster,,,27783,9676898.95,,287.1064392,,,,,,,,,1
case,AUG 2022,202235,5-11,vaccinated,2932,4393378,12535,9893336,66.73680252,126.7014483,1.898524405,,,,,,,,0
case,AUG 2022,202235,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,AUG 2022,202235,50-64,vaccinated,29629,25810341,15096,4743526.3,114.7950738,318.2442564,2.772281474,,,,,,,,1
case,AUG 2022,202235,50-64,vax with updated booster,,,15096,4743526.3,,318.2442564,,,,,,,,,1
case,AUG 2022,202235,65-79,vaccinated,23552,18962890.3,8963,1460990.95,124.2004759,613.4877153,4.939495689,,,,,,,,1
case,AUG 2022,202235,65-79,vax with updated booster,,,8963,1460990.95,,613.4877153,,,,,,,,,1
case,AUG 2022,202235,80+,vaccinated,9184,5484215.8,3291,679766.55,167.4624109,484.1367967,2.891017715,,,,,,,,1
case,AUG 2022,202235,80+,vax with updated booster,,,3291,679766.55,,484.1367967,,,,,,,,,1
case,AUG 2022,202235,all_ages,vaccinated,116216,99151145.1,75954,25050554.2,,,,115.40804,334.1294356,2.895200678,138.8643797,413.0668759,2.974606424,,1
case,AUG 2022,202235,all_ages,vax with updated booster,,,75954,25050554.2,,,,,334.1294356,,,413.0668759,,,1
case,SEP 2022,202236,0.5-4,vaccinated,126,136115,7583,6280053,92.56878375,120.7473886,1.304407206,,,,,,,,0
case,SEP 2022,202236,0.5-4,vax with updated booster,,,,,,,,,,,,,,,0
case,SEP 2022,202236,12-17,vaccinated,4923,7589907,7705,4574095.65,64.86245484,168.4485981,2.597012379,,,,,,,,1
